FIPS-Code,Name,Population,All white Christians,White evangelical Protestant,White mainline Protestant,Black Protestant,White Catholic,Hispanic Catholic,Mormon,Other Christian,Jewish,Muslim,Buddhist,Hindu,Unaffiliated,Total
01003,"Autauga County, AL",56000,59,39,16,14,4,0,0,7,0,0,0,0,18,157
01005,"Baldwin County, AL",223000,70,37,20,5,12,2,1,7,0,0,0,0,15,169
01007,"Barbour County, AL",25000,45,30,10,32,4,1,1,5,0,0,0,0,16,144
01009,"Bibb County, AL",22000,70,53,14,9,3,0,0,4,0,0,0,0,16,169
01011,"Blount County, AL",58000,75,58,15,2,2,2,0,5,0,0,0,0,14,173
01013,"Bullock County, AL",10000,22,13,5,63,4,0,0,5,0,0,0,0,10,122
01015,"Butler County, AL",19000,47,32,10,34,5,0,0,8,0,0,0,0,10,146
01017,"Calhoun County, AL",114000,64,42,16,12,6,0,0,6,0,0,0,0,16,162
01019,"Chambers County, AL",33000,52,38,13,24,1,2,0,7,0,0,0,0,14,151
01021,"Cherokee County, AL",26000,76,55,18,4,3,0,0,5,0,0,0,0,15,176
01023,"Chilton County, AL",44000,70,54,15,7,1,1,0,5,0,0,0,0,15,168
01025,"Choctaw County, AL",13000,48,36,11,36,1,0,0,6,0,0,0,0,8,146
01027,"Clarke County, AL",24000,49,35,12,36,2,0,0,6,0,0,0,0,8,148
01029,"Clay County, AL",13000,67,52,12,13,3,0,0,5,0,0,0,0,14,166
01031,"Cleburne County, AL",15000,77,57,17,3,3,1,0,5,0,0,0,0,14,177
01033,"Coffee County, AL",52000,65,44,16,10,4,2,1,8,0,0,0,0,13,163
01035,"Colbert County, AL",55000,62,42,16,14,3,0,1,6,0,0,0,0,16,160
01037,"Conecuh County, AL",12000,51,37,13,35,1,0,0,5,0,0,0,0,8,150
01039,"Coosa County, AL",11000,62,46,14,21,2,0,0,4,0,0,0,0,11,160
01041,"Covington County, AL",37000,71,56,14,10,1,1,0,4,0,0,0,0,12,169
01043,"Crenshaw County, AL",14000,65,49,15,11,1,1,0,7,0,0,0,0,16,165
01045,"Cullman County, AL",84000,78,62,13,2,3,0,0,5,0,0,0,0,15,178
01047,"Dale County, AL",49000,66,47,14,11,4,1,1,6,0,0,0,0,15,165
01049,"Dallas County, AL",37000,27,18,6,53,2,0,1,8,0,0,0,0,11,126
01051,"DeKalb County, AL",72000,69,53,13,5,3,4,0,6,0,0,0,0,15,168
01053,"Elmore County, AL",81000,65,46,16,11,3,1,0,6,0,0,0,0,14,162
01055,"Escambia County, AL",37000,56,46,10,21,0,0,0,9,0,0,0,0,13,155
01057,"Etowah County, AL",102000,68,48,15,10,5,0,0,6,0,0,0,0,14,166
01059,"Fayette County, AL",16000,76,63,12,6,1,0,0,6,0,0,0,0,12,176
01061,"Franklin County, AL",31000,69,52,14,5,2,4,1,3,0,0,0,0,17,167
01063,"Geneva County, AL",26000,73,54,16,7,3,0,0,7,0,0,0,0,12,172
01065,"Greene County, AL",8100,20,13,4,61,3,1,0,8,0,1,0,0,7,118
01067,"Hale County, AL",15000,34,26,7,49,1,0,0,6,0,0,0,0,9,132
01069,"Henry County, AL",17000,60,38,15,19,7,0,0,6,0,0,0,0,14,159
01071,"Houston County, AL",106000,57,41,14,15,1,1,1,7,1,0,0,0,16,154
01073,"Jackson County, AL",52000,73,56,15,5,2,0,0,5,0,0,0,0,17,173
01075,"Jefferson County, AL",659000,46,28,11,26,6,3,1,5,1,1,0,0,17,145
01077,"Lamar County, AL",14000,77,56,17,5,4,0,0,4,0,0,0,0,13,176
01079,"Lauderdale County, AL",93000,61,44,16,9,1,3,0,5,0,0,0,0,20,159
01081,"Lawrence County, AL",33000,68,55,13,6,0,1,0,10,0,0,0,0,14,167
01083,"Lee County, AL",165000,49,30,15,23,3,1,1,7,1,1,0,0,19,150
01085,"Limestone County, AL",99000,63,46,14,9,2,2,1,7,0,0,0,0,17,161
01087,"Lowndes County, AL",9700,22,16,5,60,1,0,0,7,0,0,0,0,10,121
01089,"Macon County, AL",18000,17,14,3,62,0,0,0,6,0,0,0,0,11,113
01091,"Madison County, AL",373000,52,28,18,14,5,3,1,9,1,0,1,0,16,148
01093,"Marengo County, AL",19000,44,33,10,41,1,0,0,6,0,0,0,0,7,142
01095,"Marion County, AL",30000,79,64,14,2,1,1,0,5,0,0,0,0,13,179
01097,"Marshall County, AL",97000,69,48,16,1,4,4,1,7,0,0,0,0,17,167
01099,"Mobile County, AL",413000,50,29,13,20,7,2,1,8,0,1,0,0,17,148
01101,"Monroe County, AL",21000,50,36,10,30,4,0,0,6,0,0,0,0,13,149
01103,"Montgomery County, AL",226000,36,22,8,37,5,1,1,7,1,1,0,0,17,136
01105,"Morgan County, AL",120000,61,40,16,11,4,2,1,5,0,0,0,0,19,159
01107,"Perry County, AL",8900,24,20,4,59,0,0,0,7,1,1,0,0,7,123
01109,"Pickens County, AL",20000,43,31,11,36,1,0,0,7,0,0,0,0,13,142
01111,"Pike County, AL",33000,46,31,12,27,2,1,1,8,0,0,0,0,17,145
01113,"Randolph County, AL",23000,67,48,17,10,2,0,0,6,0,0,0,0,15,165
01115,"Russell County, AL",58000,47,32,11,29,3,2,1,6,0,0,0,0,16,147
01117,"St. Clair County, AL",90000,75,53,16,5,5,1,1,5,0,0,0,0,13,174
01119,"Shelby County, AL",218000,62,42,13,12,6,2,1,6,1,0,0,0,15,160
01121,"Sumter County, AL",12000,24,19,4,59,1,0,0,7,0,1,0,0,8,123
01123,"Talladega County, AL",80000,55,41,12,21,1,0,1,6,0,0,0,0,18,155
01125,"Tallapoosa County, AL",40000,60,44,12,19,4,0,0,6,0,0,0,0,12,157
01127,"Tuscaloosa County, AL",209000,46,32,11,26,3,2,0,7,1,1,0,0,14,143
01129,"Walker County, AL",64000,74,53,18,5,3,1,0,5,0,0,0,0,14,173
01131,"Washington County, AL",16000,65,51,13,12,1,0,0,8,0,0,0,0,13,163
01133,"Wilcox County, AL",10000,27,22,5,52,0,0,0,9,0,0,0,0,8,123
02013,"Winston County, AL",24000,77,58,18,2,1,1,0,6,0,0,0,0,14,177
02016,"Aleutians East Borough, AK",3300,19,7,9,1,2,3,1,33,0,1,1,0,41,118
02020,"Aleutians West Census Area, AK",5600,30,14,13,1,2,6,1,20,0,3,2,3,33,128
02050,"Municipality of Anchorage, AK",288000,39,13,15,3,7,2,4,16,1,1,2,0,35,138
02060,"Bethel Census Area, AK",18000,17,6,4,0,1,1,6,44,3,0,0,0,35,117
02068,"Bristol Bay Borough, AK",800,35,12,17,0,5,1,1,25,0,0,0,1,38,135
02070,"Denali Borough, AK",2100,43,13,19,1,10,1,1,13,0,2,2,0,38,143
