FIPS-Code,Name,Population,All white Christians,White mainline Protestant,Black Protestant,Hispanic Protestant,White Catholic,Hispanic Catholic,Mormon,Other Christian,Jewish,Muslim,Buddhist,Hindu,Unaffiliated
01003,"Autauga County, AL",56000,59,16,14,2,4,0,0,7,0,0,0,0,18
01005,"Baldwin County, AL",223000,70,20,5,3,12,2,1,7,0,0,0,0,15
01007,"Barbour County, AL",25000,45,10,32,3,4,1,1,5,0,0,0,0,16
01009,"Bibb County, AL",22000,70,14,9,0,3,0,0,4,0,0,0,0,16
01011,"Blount County, AL",58000,75,15,2,1,2,2,0,5,0,0,0,0,14
01013,"Bullock County, AL",10000,22,5,63,1,4,0,0,5,0,0,0,0,10
01015,"Butler County, AL",19000,47,10,34,1,5,0,0,8,0,0,0,0,10
01017,"Calhoun County, AL",114000,64,16,12,1,6,0,0,6,0,0,0,0,16
01019,"Chambers County, AL",33000,52,13,24,1,1,2,0,7,0,0,0,0,14
01021,"Cherokee County, AL",26000,76,18,4,0,3,0,0,5,0,0,0,0,15
01023,"Chilton County, AL",44000,70,15,7,1,1,1,0,5,0,0,0,0,15
01025,"Choctaw County, AL",13000,48,11,36,1,1,0,0,6,0,0,0,0,8
01027,"Clarke County, AL",24000,49,12,36,1,2,0,0,6,0,0,0,0,8
01029,"Clay County, AL",13000,67,12,13,1,3,0,0,5,0,0,0,0,14
01031,"Cleburne County, AL",15000,77,17,3,0,3,1,0,5,0,0,0,0,14
01033,"Coffee County, AL",52000,65,16,10,2,4,2,1,8,0,0,0,0,13
01035,"Colbert County, AL",55000,62,16,14,2,3,0,1,6,0,0,0,0,16
01037,"Conecuh County, AL",12000,51,13,35,1,1,0,0,5,0,0,0,0,8
01039,"Coosa County, AL",11000,62,14,21,1,2,0,0,4,0,0,0,0,11
01041,"Covington County, AL",37000,71,14,10,1,1,1,0,4,0,0,0,0,12
01043,"Crenshaw County, AL",14000,65,15,11,1,1,1,0,7,0,0,0,0,16
01045,"Cullman County, AL",84000,78,13,2,0,3,0,0,5,0,0,0,0,15
01047,"Dale County, AL",49000,66,14,11,2,4,1,1,6,0,0,0,0,15
01049,"Dallas County, AL",37000,27,6,53,2,2,0,1,8,0,0,0,0,11
01051,"DeKalb County, AL",72000,69,13,5,2,3,4,0,6,0,0,0,0,15
01053,"Elmore County, AL",81000,65,16,11,3,3,1,0,6,0,0,0,0,14
01055,"Escambia County, AL",37000,56,10,21,1,0,0,0,9,0,0,0,0,13
01057,"Etowah County, AL",102000,68,15,10,2,5,0,0,6,0,0,0,0,14
01059,"Fayette County, AL",16000,76,12,6,1,1,0,0,6,0,0,0,0,12
01061,"Franklin County, AL",31000,69,14,5,3,2,4,1,3,0,0,0,0,17
01063,"Geneva County, AL",26000,73,16,7,1,3,0,0,7,0,0,0,0,12
01065,"Greene County, AL",8100,20,4,61,1,3,1,0,8,0,1,0,0,7
01067,"Hale County, AL",15000,34,7,49,1,1,0,0,6,0,0,0,0,9
01069,"Henry County, AL",17000,60,15,19,1,7,0,0,6,0,0,0,0,14
01071,"Houston County, AL",106000,57,14,15,2,1,1,1,7,1,0,0,0,16
01073,"Jackson County, AL",52000,73,15,5,0,2,0,0,5,0,0,0,0,17
01075,"Jefferson County, AL",659000,46,11,26,2,6,3,1,5,1,1,0,0,17
01077,"Lamar County, AL",14000,77,17,5,1,4,0,0,4,0,0,0,0,13
01079,"Lauderdale County, AL",93000,61,16,9,2,1,3,0,5,0,0,0,0,20
01081,"Lawrence County, AL",33000,68,13,6,1,0,1,0,10,0,0,0,0,14
01083,"Lee County, AL",165000,49,15,23,1,3,1,1,7,1,1,0,0,19
01085,"Limestone County, AL",99000,63,14,9,1,2,2,1,7,0,0,0,0,17
01087,"Lowndes County, AL",9700,22,5,60,1,1,0,0,7,0,0,0,0,10
01089,"Macon County, AL",18000,17,3,62,3,0,0,0,6,0,0,0,0,11
01091,"Madison County, AL",373000,52,18,14,4,5,3,1,9,1,0,1,0,16
01093,"Marengo County, AL",19000,44,10,41,1,1,0,0,6,0,0,0,0,7
01095,"Marion County, AL",30000,79,14,2,1,1,1,0,5,0,0,0,0,13
01097,"Marshall County, AL",97000,69,16,1,3,4,4,1,7,0,0,0,0,17
01099,"Mobile County, AL",413000,50,13,20,2,7,2,1,8,0,1,0,0,17
01101,"Monroe County, AL",21000,50,10,30,1,4,0,0,6,0,0,0,0,13
01103,"Montgomery County, AL",226000,36,8,37,2,5,1,1,7,1,1,0,0,17
01105,"Morgan County, AL",120000,61,16,11,2,4,2,1,5,0,0,0,0,19
01107,"Perry County, AL",8900,24,4,59,1,0,0,0,7,1,1,0,0,7
01109,"Pickens County, AL",20000,43,11,36,1,1,0,0,7,0,0,0,0,13
01111,"Pike County, AL",33000,46,12,27,2,2,1,1,8,0,0,0,0,17
01113,"Randolph County, AL",23000,67,17,10,1,2,0,0,6,0,0,0,0,15
01115,"Russell County, AL",58000,47,11,29,2,3,2,1,6,0,0,0,0,16
01117,"St. Clair County, AL",90000,75,16,5,1,5,1,1,5,0,0,0,0,13
01119,"Shelby County, AL",218000,62,13,12,2,6,2,1,6,1,0,0,0,15
01121,"Sumter County, AL",12000,24,4,59,1,1,0,0,7,0,1,0,0,8
01123,"Talladega County, AL",80000,55,12,21,1,1,0,1,6,0,0,0,0,18
01125,"Tallapoosa County, AL",40000,60,12,19,2,4,0,0,6,0,0,0,0,12
01127,"Tuscaloosa County, AL",209000,46,11,26,3,3,2,0,7,1,1,0,0,14
01129,"Walker County, AL",64000,74,18,5,2,3,1,0,5,0,0,0,0,14
01131,"Washington County, AL",16000,65,13,12,1,1,0,0,8,0,0,0,0,13
01133,"Wilcox County, AL",10000,27,5,52,2,0,0,0,9,0,0,0,0,8
02013,"Winston County, AL",24000,77,18,2,1,1,1,0,6,0,0,0,0,14
02016,"Aleutians East Borough, AK",3300,19,9,1,2,2,3,1,33,0,1,1,0,41
02020,"Aleutians West Census Area, AK",5600,30,13,1,2,2,6,1,20,0,3,2,3,33
02050,"Municipality of Anchorage, AK",288000,39,15,3,2,7,2,4,16,1,1,2,0,35
02060,"Bethel Census Area, AK",18000,17,4,0,1,1,1,6,44,3,0,0,0,35
02068,"Bristol Bay Borough, AK",800,35,17,0,1,5,1,1,25,0,0,0,1,38
02070,"Denali Borough, AK",2100,43,19,1,1,10,1,1,13,0,2,2,0,38
02090,"Dillingham Census Area, AK",4900,20,7,0,1,2,1,5,41,2,0,0,0,35
02100,"Fairbanks North Star Borough, AK",97000,41,14,2,2,6,3,3,12,1,0,2,0,38
02105,"Haines Borough, AK",2500,43,16,0,1,9,0,4,16,2,0,1,0,38
02110,"Hoonah-Angoon Census Area, AK",2100,29,12,0,1,2,1,2,31,0,0,0,0,38
02122,"City and Borough of Juneau, AK",32000,36,15,0,2,6,2,2,16,0,0,2,0,43
02130,"Kenai Peninsula Borough, AK",59000,44,15,0,1,5,0,4,15,1,0,1,0,39
02150,"Ketchikan Gateway Borough, AK",14000,41,17,0,1,5,2,1,17,1,0,1,0,38
02158,"Kodiak Island Borough, AK",13000,40,13,0,2,6,1,2,20,0,0,2,1,33
02164,"Kusilvak Census Area, AK",8300,16,3,0,1,3,0,5,48,2,0,0,0,33
02170,"Lake and Peninsula Borough, AK",1600,20,8,0,1,1,1,3,42,0,0,0,1,37
02180,"Matanuska-Susitna Borough, AK",108000,53,17,0,1,10,2,4,12,1,0,1,0,30
02185,"Nome Census Area, AK",10000,20,6,0,1,2,1,4,42,2,0,0,0,34
02188,"North Slope Borough, AK",9800,30,12,0,1,7,1,4,26,1,1,0,0,41
02195,"Northwest Arctic Borough, AK",7600,21,4,0,1,7,1,4,41,2,0,0,0,34
02198,"Petersburg Census Area, AK",3300,44,19,0,2,9,2,3,14,1,0,1,0,37
02220,"Prince of Wales-Hyder Census Area, AK",6200,35,13,0,1,6,2,3,25,0,0,0,0,36
02230,"Sitka City and Borough, AK",8500,40,16,0,1,3,1,2,21,1,0,1,0,35
02240,"Skagway Municipality, AK",1200,48,18,0,1,16,2,1,8,0,1,1,0,39
02261,"Southeast Fairbanks Census Area, AK",6900,44,13,0,0,13,1,3,11,2,0,1,0,41
02275,"Valdez-Cordova Census Area, AK",9200,46,17,0,1,7,1,3,13,1,0,1,0,38
02282,"Wrangell City and Borough, AK",2500,41,20,0,1,2,1,2,18,0,0,1,0,40
02290,"Yakutat City and Borough, AK",600,31,14,0,1,5,1,1,29,0,0,1,0,37
04001,"Yukon-Koyukuk Census Area, AK",5200,20,6,0,1,7,1,2,41,1,0,0,0,37
04003,"Apache County, AZ",72000,25,6,0,1,5,5,8,33,1,0,0,0,35
04005,"Cochise County, AZ",126000,50,16,1,4,10,14,6,6,0,0,1,0,26
04007,"Coconino County, AZ",143000,39,13,0,3,7,6,7,12,1,1,1,0,39
04009,"Gila County, AZ",54000,54,19,0,3,8,7,5,10,0,0,0,0,25
04011,"Graham County, AZ",39000,51,14,0,3,7,11,12,8,0,0,0,0,27
04012,"Greenlee County, AZ",9500,46,13,0,6,7,18,8,3,0,0,0,0,26
04013,"La Paz County, AZ",21000,52,16,0,3,10,9,5,9,0,0,0,0,27
04015,"Maricopa County, AZ",4485000,42,13,3,6,11,12,5,6,2,1,1,1,27
04017,"Mohave County, AZ",212000,59,17,1,2,12,3,5,6,1,0,0,0,27
04019,"Navajo County, AZ",111000,41,10,0,1,4,5,13,21,1,0,0,0,30
04021,"Pima County, AZ",1047000,36,13,2,6,9,15,2,7,1,1,1,0,31
04023,"Pinal County, AZ",463000,47,16,3,3,11,12,6,8,1,1,1,0,24
04025,"Santa Cruz County, AZ",46000,18,6,1,10,5,52,4,3,1,0,1,0,14
04027,"Yavapai County, AZ",235000,58,20,1,3,10,4,4,5,1,0,1,0,28
05001,"Yuma County, AZ",214000,30,9,2,10,4,36,4,5,0,0,0,0,18
05003,"Arkansas County, AR",17000,58,16,18,1,1,2,1,4,0,0,0,0,17
05005,"Ashley County, AR",20000,67,11,17,2,1,1,0,3,0,0,0,0,10
05007,"Baxter County, AR",42000,74,22,3,0,11,0,1,5,0,0,0,0,17
05009,"Benton County, AR",279000,61,16,1,4,6,5,3,6,0,0,0,1,22
05011,"Boone County, AR",37000,73,17,2,0,3,0,0,4,0,0,0,0,20
05013,"Bradley County, AR",11000,53,10,22,2,3,4,1,5,0,0,0,0,14
05015,"Calhoun County, AR",5200,71,19,10,1,5,1,0,5,0,0,0,0,13
05017,"Carroll County, AR",28000,66,17,1,1,6,3,0,4,0,0,0,0,25
05019,"Chicot County, AR",10000,39,10,41,2,3,1,0,5,0,0,0,0,12
05021,"Clark County, AR",22000,54,15,16,3,1,1,0,6,0,0,0,0,21
05023,"Clay County, AR",15000,78,22,3,0,2,0,0,4,0,0,0,0,16
05025,"Cleburne County, AR",25000,77,23,2,1,5,0,0,5,0,0,0,0,14
05027,"Cleveland County, AR",8000,75,16,6,1,3,0,0,4,0,0,0,0,13
05029,"Columbia County, AR",23000,54,13,27,1,5,0,0,6,0,0,0,0,12
05031,"Conway County, AR",21000,67,17,9,1,6,1,0,4,0,0,0,0,19
05033,"Craighead County, AR",110000,65,15,9,1,6,1,1,6,0,0,0,0,18
05035,"Crawford County, AR",63000,72,13,2,1,6,2,0,5,0,0,0,0,18
05037,"Crittenden County, AR",48000,35,9,39,2,1,0,0,8,0,0,0,0,15
05039,"Cross County, AR",16000,66,16,13,1,3,1,0,7,0,0,0,0,13
05041,"Dallas County, AR",7000,48,11,34,1,3,1,0,5,0,0,0,0,11
05043,"Desha County, AR",11000,41,11,40,1,0,1,0,6,0,0,0,0,11
05045,"Drew County, AR",18000,58,14,19,1,5,1,0,5,0,0,0,0,15
05047,"Faulkner County, AR",126000,61,14,10,2,6,2,0,5,0,0,0,0,20
05049,"Franklin County, AR",18000,73,17,3,1,5,1,0,5,0,0,0,0,17
05051,"Fulton County, AR",12000,79,19,1,0,3,0,0,4,0,0,0,0,15
05053,"Garland County, AR",99000,67,19,6,3,7,1,1,4,0,0,0,0,21
05055,"Grant County, AR",18000,76,18,2,1,7,0,0,5,0,0,0,0,16
05057,"Greene County, AR",45000,75,19,2,1,1,0,0,5,0,0,0,0,18
05059,"Hempstead County, AR",22000,54,14,22,3,3,2,0,6,0,0,0,0,13
05061,"Hot Spring County, AR",34000,71,15,8,1,2,0,0,4,0,0,0,0,15
05063,"Howard County, AR",13000,61,14,11,3,1,3,0,6,0,0,0,0,16
05065,"Independence County, AR",38000,72,20,2,1,4,2,1,4,0,0,0,0,19
05067,"Izard County, AR",14000,77,18,1,0,9,1,0,5,0,0,0,0,16
05069,"Jackson County, AR",17000,67,15,9,1,1,2,0,8,0,0,0,0,13
05071,"Jefferson County, AR",67000,34,9,44,2,1,2,0,4,0,0,0,0,13
05073,"Johnson County, AR",27000,65,15,6,1,3,3,0,6,0,0,0,0,18
05075,"Lafayette County, AR",6600,56,17,28,1,1,0,0,6,0,0,0,0,9
05077,"Lawrence County, AR",16000,75,17,2,0,4,0,0,5,0,0,0,0,17
05079,"Lee County, AR",8900,40,9,42,1,1,0,0,4,0,0,0,0,13
05081,"Lincoln County, AR",13000,63,12,13,0,0,1,0,4,0,0,0,0,19
05083,"Little River County, AR",12000,69,17,13,1,8,0,0,6,0,0,0,0,11
05085,"Logan County, AR",21000,72,18,3,0,6,1,0,5,0,0,0,0,18
05087,"Lonoke County, AR",73000,70,20,5,2,5,2,1,6,0,0,0,0,16
05089,"Madison County, AR",17000,78,17,1,1,2,1,0,5,0,0,0,0,15
05091,"Marion County, AR",17000,75,16,1,1,9,0,0,4,0,0,0,0,18
05093,"Miller County, AR",43000,63,12,15,1,4,0,0,6,0,0,0,0,15
05095,"Mississippi County, AR",41000,54,12,24,1,5,0,0,7,0,0,0,0,13
05097,"Monroe County, AR",6700,50,13,30,1,1,0,0,7,0,0,0,0,11
05099,"Montgomery County, AR",9000,77,18,1,1,7,1,0,6,0,0,0,0,15
05101,"Nevada County, AR",8300,58,16,24,1,2,0,0,6,0,0,0,0,11
05103,"Newton County, AR",7800,76,19,2,0,2,0,0,4,0,0,0,0,18
05105,"Ouachita County, AR",23000,47,12,32,1,1,0,0,8,0,0,0,0,12
05107,"Perry County, AR",10000,73,19,1,0,2,1,0,5,0,0,0,0,18
05109,"Phillips County, AR",18000,34,8,47,1,1,1,0,7,0,0,0,0,10
05111,"Pike County, AR",11000,77,20,3,2,2,1,0,4,0,0,0,0,14
05113,"Poinsett County, AR",24000,73,17,5,0,2,1,0,6,0,0,0,0,14
05115,"Polk County, AR",20000,72,20,1,2,2,1,0,6,0,0,0,0,18
05117,"Pope County, AR",64000,66,18,3,1,4,4,0,7,0,0,0,0,19
05119,"Prairie County, AR",8100,77,22,4,0,2,0,0,3,0,0,0,0,15
05121,"Pulaski County, AR",392000,47,13,22,3,8,3,1,5,1,1,1,0,21
05123,"Randolph County, AR",18000,76,20,2,1,6,0,1,5,0,0,0,0,17
05125,"St. Francis County, AR",25000,40,9,35,1,2,0,0,5,0,0,0,0,18
05127,"Saline County, AR",122000,68,17,6,2,8,2,2,5,0,0,0,0,19
05129,"Scott County, AR",10000,75,17,2,1,1,1,1,6,0,0,0,0,16
05131,"Searcy County, AR",7900,76,21,2,1,1,0,0,6,0,0,0,0,16
05133,"Sebastian County, AR",128000,62,16,7,3,8,4,1,8,0,0,0,0,17
05135,"Sevier County, AR",17000,51,11,5,7,0,18,0,5,0,0,0,0,14
05137,"Sharp County, AR",17000,77,19,1,0,1,0,0,6,0,0,0,0,15
05139,"Stone County, AR",13000,76,20,3,0,3,0,0,5,0,0,0,0,16
05141,"Union County, AR",39000,54,12,25,1,2,0,0,6,0,0,0,0,13
05143,"Van Buren County, AR",17000,71,20,1,1,1,0,0,6,0,0,0,0,22
05145,"Washington County, AR",239000,57,17,3,4,5,7,1,6,0,0,0,0,23
05147,"White County, AR",79000,73,24,1,2,5,2,0,5,0,0,0,0,17
05149,"Woodruff County, AR",6300,60,15,23,1,1,0,0,5,0,0,0,0,12
06001,"Yell County, AR",21000,66,17,2,2,3,8,0,5,0,0,0,0,17
06003,"Alameda County, CA",1671000,16,6,7,5,6,12,1,10,2,3,3,3,39
06005,"Alpine County, CA",1100,43,16,0,1,19,4,2,15,1,0,1,0,36
06007,"Amador County, CA",40000,48,18,0,2,6,6,4,7,0,0,1,0,36
06009,"Butte County, CA",219000,43,15,1,4,7,5,3,6,1,1,2,0,38
06011,"Calaveras County, CA",46000,57,21,1,1,11,4,3,7,1,0,1,0,28
06013,"Colusa County, CA",22000,27,9,1,6,2,40,2,4,0,0,0,0,22
06015,"Contra Costa County, CA",1154000,30,10,7,5,11,12,2,9,2,2,2,1,32
06017,"Del Norte County, CA",28000,49,15,1,1,6,3,5,9,0,0,1,0,36
06019,"El Dorado County, CA",193000,47,15,2,4,9,7,2,8,1,0,1,0,31
06021,"Fresno County, CA",999000,28,8,4,9,5,27,2,8,0,1,1,0,23
06023,"Glenn County, CA",28000,35,13,1,8,7,26,3,5,0,0,1,0,25
06025,"Humboldt County, CA",136000,40,16,1,2,7,3,3,7,1,0,2,0,45
06027,"Imperial County, CA",181000,11,5,2,15,2,50,1,3,0,0,1,0,17
06029,"Inyo County, CA",18000,43,17,1,2,10,7,1,10,0,0,1,0,35
06031,"Kern County, CA",900000,32,9,4,8,6,27,2,6,0,0,1,0,22
06033,"Kings County, CA",153000,31,10,2,9,6,31,1,5,0,0,1,0,23
06035,"Lake County, CA",64000,44,14,1,3,10,8,3,7,0,0,1,0,35
06037,"Lassen County, CA",31000,54,16,0,1,4,5,4,5,0,0,0,0,34
06039,"Los Angeles County, CA",10039000,17,6,7,9,5,25,1,8,3,1,2,1,28
06041,"Madera County, CA",157000,29,8,4,10,2,29,2,6,0,0,1,0,21
06043,"Marin County, CA",259000,40,15,2,3,18,6,1,5,5,1,2,0,37
06045,"Mariposa County, CA",17000,55,16,1,2,10,3,1,6,0,0,1,0,32
06047,"Mendocino County, CA",87000,37,15,0,2,3,11,3,7,1,0,1,0,42
06049,"Merced County, CA",278000,28,7,3,10,7,31,3,5,0,0,1,0,22
06051,"Modoc County, CA",8800,59,18,1,2,8,5,1,5,0,0,0,0,27
06053,"Mono County, CA",14000,44,15,1,3,18,9,0,6,1,0,1,0,36
06055,"Monterey County, CA",434000,21,7,1,7,5,38,1,5,1,0,1,0,26
06057,"Napa County, CA",138000,33,11,2,5,14,21,1,6,1,0,1,0,32
06059,"Nevada County, CA",100000,46,18,0,1,10,3,2,5,1,0,2,0,42
06061,"Orange County, CA",3176000,32,11,2,7,8,19,2,8,2,2,1,1,26
06063,"Placer County, CA",398000,49,18,2,4,11,6,3,8,1,0,1,0,31
06065,"Plumas County, CA",19000,54,21,0,2,13,1,3,7,0,0,1,0,36
06067,"Riverside County, CA",2471000,29,9,5,10,7,22,2,7,1,1,1,0,25
06069,"Sacramento County, CA",1552000,34,10,6,4,9,11,3,9,1,1,2,1,33
06071,"San Benito County, CA",63000,29,7,1,8,14,33,2,5,0,0,1,0,24
06073,"San Bernardino County, CA",2180000,27,9,6,12,5,21,2,8,1,0,1,0,23
06075,"San Diego County, CA",3338000,30,9,3,7,9,17,2,9,2,1,1,1,29
06077,"San Francisco County, CA",882000,17,7,4,4,7,12,0,10,4,3,4,2,42
06079,"San Joaquin County, CA",762000,31,9,6,8,9,18,2,10,1,1,2,1,24
